Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
Huawei Honor 8X,Exp. release 2018  September,About 220 EUR,175g  7.8mm thickness,64/128GB storage  microSD card slot   6,6.5",20 MP  f/1 8  PDAF,3750,Black  Blue  Red  Pink
Huawei Honor 8X Max,Exp. release 2018  September,About 250 EUR,210g  8.1mm thickness,64/128GB storage  microSD card slot   6,7.12",16 MP  f/2.0  PDAF,5000,Black  Blue  Red
Huawei Mate 20 Lite,Exp. release 2018  September,About 400 EUR,172g  7.6mm thickness,64GB storage  microSD card slot   6,6.3",20 MP  f/1.8  PDAF,3750,Sapphire Blue  Black  Platinum gold
Huawei Honor Note 10,Released 2018  August,About 400 EUR,230g  7.7mm thickness,128GB storage  microSD card slot   8,6.95",16 MP  f/1.8  PDAF,5000,Midnight Black  Phantom Blue
Huawei Honor 9N (9i),Released 2018  July,About 220 EUR,152g  7.7mm thickness,64/128GB storage  microSD card slot   4,5.84",13 MP  PDAF,3000,Lavender Purple  Robin Egg Blue  Sapphire Blue  Midnight Black
Huawei P Smart+ (nova 3i),Released 2018  August,About 350 EUR,169g  7.6mm thickness,128GB storage  microSD card slot   6,6.3",16 MP  f/2.2  PDAF,3340,Black  Pearl White  Iris Purple
Huawei nova 3,Released 2018  August,About 450 EUR,166g  7.3mm thickness,128GB storage  microSD card slot   6,6.3",16 MP  27mm  f/1.8  PDAF,3750,Iris Purple  Airy blue  Primrose Gold  Red  Black
Huawei Honor Play,Released 2018  August,About 320 EUR,176g  7.5mm thickness,64GB storage  microSD card slot   6,6.3",16  f/2.2  PDAF,3750,Midnight Black  Navy Blue  Violet  Player Edition Red  Player Edition Black
Huawei Watch 2 2018,Released 2018  May,About 270 EUR,57g  12.6mm thickness,4GB storage  no card slot   768,1.2",No,420,Dynamic Orange  Carbon Black  Concrete Grey
Huawei Honor 7s,Released 2018  May,About 110 EUR,142g  8.3mm thickness,16GB storage  microSD card slot   2,5.45",13 MP  PDAF,3020,Black  Gold  Blue
Huawei Y5 Prime (2018),Released 2018  June,About 100 EUR,142g  8.3mm thickness,16GB storage  microSD card slot   2,5.45",13 MP  f/2.0  AF,3020,Black  Gold  Blue
