Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
Lenovo Vibe K5 Plus,Released 2016  April,About 140 EUR,142g  8mm thickness,16GB storage  microSD card slot,5.0",13 MP  AF  f/2.2,2750,Silver  Gold
Lenovo Vibe K5,Released 2016  April,About 120 EUR,142g  8mm thickness,16GB storage  microSD card slot,5.0",13 MP  AF  f/2.2,2750,Champagne Gold  Platinum Silver
Lenovo A7000 Turbo,Released 2016  January,About 180 EUR,150g  8mm thickness,16GB storage  microSD card slot,5.5",13 MP  AF  f/2.0,2900,Matte Black
Lenovo Vibe P1 Turbo,Released 2016  February,About 260 EUR,189g  9.9mm thickness,32GB storage  microSD card slot,5.5",13 MP  PDAF  f/2.2,4900,Platinum  Graphite Grey  Gold
Lenovo K5 Note,Released 2016  January,About 190 EUR,165g  8.5mm thickness,32GB storage  microSD card slot,5.5",13 MP  PDAF  f/2.2,3500,Silver  Gold  Gray
Lenovo Lemon 3,Released 2016  January,About 110 EUR,142g  8mm thickness,16GB storage  microSD card slot,5.0",13 MP  AF,2750,Silver  Gold
Lenovo Vibe S1 Lite,Released 2016  May,About 210 EUR,129g  8.6mm thickness,16GB storage  microSD card slot,5.0",13 MP  PDAF  f/2.2,2700,Matte White  Matte Blue
Lenovo Vibe K4 Note,Released 2016  January,About 190 EUR,158g  9.2mm thickness,16GB storage  microSD card slot,5.5",13 MP  PDAF  f/2.2,3300,Black
Lenovo Vibe X3 c78,Released 2015  December,About 320 EUR,9.2mm thickness,16GB storage  microSD card slot,5.5",13 MP  PDAF  f/2.0,3300,White  Black
Lenovo Vibe X3,Released 2015  December,About 300 EUR,175g  9.3mm thickness,32/64GB storage  microSD card slot,5.5",21 MP  f/2.0  27mm  PDAF,3500,White  Black
Lenovo A3690,Released 2015  October,About 110 EUR,140g  8.8mm thickness,8GB storage  microSD card slot,5.0",8 MP  AF,2300,Black  White
Lenovo Yoga Tab 3 Pro,Released 2016  Q1,About 380 EUR,666.8g  4.7mm thickness,64GB storage  microSD card slot,10.1",13 MP  AF,10200,Black
Lenovo Yoga Tab 3 8.0,Released 2015  October,About 160 EUR,467.2g  7mm thickness,16GB storage  microSD card slot,8.0",8 MP  AF,6200,Black
Lenovo A1000,Released 2015  September,About 60 EUR,132g  10.6mm thickness,8GB storage  microSD card slot,4.0",5 MP,2000,Onyx Black  Pearl White
Lenovo Phab,Released 2015  October,About 180 EUR,250g  8.9mm thickness,16GB storage  microSD card slot,6.98",13 MP  AF  f/2.2,4250,Tuxedo Black  Polar White  Aqua Blue  Cherry Red
Lenovo Phab Plus,Released 2015  October,About 250 EUR,229g  7.6mm thickness,32GB storage  microSD card slot,6.8",13 MP  AF  f/2.2,3500,Gunmetal Grey  Titanium Silver  Champagne Gold
Lenovo Vibe P1,Released 2015  October,About 380 EUR,189g  9.9mm thickness,32GB storage  microSD card slot,5.5",13 MP  PDAF  f/2.2,5000,Platinum  Graphite Grey
Lenovo A6010 Plus,Released 2015  October,About 160 EUR,128g  8.2mm thickness,16GB storage  microSD card slot,5.0",13 MP  AF,2300,Black  White  Yellow
Lenovo A6010,Released 2015  October,About 150 EUR,128g  8.2mm thickness,8GB storage  microSD card slot,5.0",8 MP  AF  f/2.5,2300,Black  White  Yellow
Lenovo Vibe P1m,Released 2015  October,About 110 EUR,148g  9.3mm thickness,16GB storage  microSD card slot,5.0",8 MP  AF  f/2.2,4000,Onyx Black  Pearl White
Lenovo Vibe S1,Released 2015  November,About 270 EUR,132g  7.8mm thickness,32GB storage  microSD card slot,5.0",13 MP  PDAF  f/2.2,2420,Pearl White  Midnight Blue
Lenovo ZUK Z1,Released 2015  September,About 320 EUR,175g  8.9mm thickness,64GB storage  no card slot,5.5",13 MP  f/2.2  1.12µm  OIS  AF,4100,White  Dark Gray
Lenovo A2010,Released 2015  September,About 70 EUR,137g  9.9mm thickness,8GB storage  microSD card slot,4.5",5 MP,2000,Black  Pearl White
Lenovo A616,Released 2015,About 50 EUR,174g  9.2mm thickness,4GB storage  microSD card slot,5.5",5 MP  AF,2250,Black  White
Lenovo A3900,Released 2015  August,About 70 EUR,157g  9mm thickness,4GB storage  microSD card slot,5.0",5 MP  AF,2300,Black  Pearl White  Silver
Lenovo K80,Released 2015  April,About 280 EUR,158g  8.5mm thickness,64GB storage  no card slot,5.5",13 MP  OIS  AF,4000,Black  Silver  Red
Lenovo S60,Released 2015  March,About 280 EUR,128g  7.7mm thickness,8GB storage  microSD card slot,5.0",13 MP  AF,2150,Pearl White  Graphite Grey  Yellow
Lenovo A6000 Plus,Released 2015  April,About 110 EUR,128g  8.2mm thickness,16GB storage  microSD card slot,5.0",8 MP  AF  f/2.2,2300,Black  White  Yellow  Red
Lenovo A1900,Released 2015  April,About 60 EUR,117g  9.5mm thickness,4GB storage  microSD card slot,4.0",2 MP,1500,Black
Lenovo K3 Note,Released 2015  March,About 150 EUR,150g  8mm thickness,16GB storage  microSD card slot,5.5",13 MP  AF  f/2.0,3000,Onyx Black  Pearl White  Laser Yellow
Lenovo Vibe Shot,Released 2015  June,About 300 EUR,145g  7.3mm thickness,32GB storage  microSD card slot,5.0",16 MP  OIS  AF  f/2.2,3000,Crimson  Pearl White  Graphite Grey
