Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
Nokia 106,Released 2013  November,About 20 EUR,74.2g  14.9mm thickness,384 kB RAM storage  no card slot,1.8",No,800,Black  White  Red
Nokia Lumia 625,Released 2013  August,About 160 EUR,159g  9.2mm thickness,8GB storage  microSD card slot,4.7",5 MP  f/2.4  28mm  1/4"  AF,2000,Orange  Bright green  Yellow  Black and white
Nokia Lumia 1020,Released 2013  July,About 400 EUR,158g  10.4mm thickness,32GB storage  no card slot,4.5",41 MP  f/2.2  26mm  1/1.5"  1.12µm  OIS auto/manual focus,2000,Yellow  white  black  red (AT&T exclusive)
Nokia 208,Released 2013  July,About 60 EUR,89.6g  12.8mm thickness,256MB storage  microSD card slot,2.4",1.3 MP,1020,Cyan   Red  Yellow  Black  White
Nokia 207,Released 2013  October,About 60 EUR,91.3g  12.8mm thickness,256MB storage  microSD card slot,2.4",No,1020,Cyan   Red  Yellow  Black  White
Nokia Lumia 925,Released 2013  June,About 260 EUR,139g  8.5mm thickness,16GB/ 32GB storage  no card slot,4.5",8 MP  1/3"  OIS  AF,2000,Black  White  Gray
Nokia Lumia 928,Released 2013  May,About 380 EUR,162g  10.1mm thickness,32GB storage  no card slot,4.5",8 MP  1/3.2"  1.4µm  OIS  AF,2000,Black  White
Nokia Asha 501,Released 2013  June,About 80 EUR,98.2g  12.1mm thickness,128MB storage  microSD card slot,3.0",3.15 MP,1200,Bright Red  Bright Green  Cyan  Yellow  White and Black
Nokia Asha 210,Released 2013  May,About 50 EUR,97.3g  11.8mm thickness,64MB storage  microSD card slot,2.4",2 MP,1200,Yellow  Black  White  Cyan  Magenta
Nokia Lumia 720,Released 2013  April,About 200 EUR,128g  9mm thickness,8GB storage  microSD card slot,4.3",6.7 MP  1/3.6"  AF,2000,White  Red  Yellow  Cyan/Black
Nokia Lumia 520,Released 2013  April,About 70 EUR,124g  9.9mm thickness,8GB storage  microSD card slot,4.0",5 MP  f/2.4  28mm  1/4"  AF,1430,Yellow  red  cyan  white/black
Nokia 301,Released 2013  April,About 70 EUR,102g  12.5mm thickness,256MB ROM storage  microSD card slot,2.4",3.15 MP,1110,Cyan  Black  Yellow  Magenta  White
Nokia 105,Released 2013  May,About 20 EUR,70g  14.3mm thickness,8MB storage  no card slot,1.45",No,800,Black  Cyan
Nokia Asha 310,Released 2013  March,About 80 EUR,103.7g  13mm thickness,20MB storage  microSD card slot,3.0",2 MP,1110,Black  White  Golden Light
Nokia Lumia 505,Released 2013  January,About 140 EUR,131g  11.3mm thickness,4GB storage  no card slot,3.7",8 MP,1300,Black  White  Red  Pink
Nokia Lumia 620,Released 2013  January,About 120 EUR,127g  11mm thickness,8GB storage  microSD card slot,3.8",5 MP  AF,1300,Lime green  orange  magenta  yellow  cyan  white  black
Nokia 114,Released 2012  December,About 30 EUR,80g  14.8mm thickness,16MB storage  microSD card slot,1.8",VGA,1020,Black  Magenta  Cyan
Nokia 206,Released 2012  Q4,About 70 EUR,91g  12.4mm thickness,64MB storage  microSD card slot,2.4",1.3 MP,1100,Cyan   Magenta  Yellow  Black  White
Nokia Asha 205,Released 2012  Q4,About 50 EUR,94g  13mm thickness,64MB storage  microSD card slot,2.4",VGA,1020,Cyan  Magenta  Orange  Pink  White
Nokia 109,Released 2012  December,About 40 EUR,77g  14.8mm thickness,64MB ROM storage  microSD card slot,1.8",No,800,Black  Cyan
Nokia Lumia 822,Released 2012  November,About 320 EUR,141.6g  11.2mm thickness,16GB storage  microSD card slot,4.3",8 MP  AF,1800,Black  Gray  White  Red
Nokia Lumia 510,Released 2012  November,About 110 EUR,129g  11.5mm thickness,4GB storage  no card slot,4.0",5 MP  AF,1300,White  Cyan  Black  Red  Yellow
Nokia Lumia 810,Released 2012  November,About 250 EUR,145g  10.9mm thickness,8GB storage  microSD card slot,4.3",8 MP  AF,1800,Black  Cyan
Nokia Asha 309,Released 2012  December,About 90 EUR,102g  13.2mm thickness,20MB storage  microSD card slot,3.0",2 MP,1110,Black  White
Nokia Asha 308,Released 2012  October,About 70 EUR,104g  13mm thickness,20MB storage  microSD card slot,3.0",2 MP,1110,Black  Golden light
Nokia Lumia 920,Released 2012  November,About 210 EUR,185g  10.7mm thickness,32GB storage  no card slot,4.5",8 MP  f/2.0  26mm  1/3"  OIS  AF,2000,Black  Gray  Red  Yellow  White
Nokia Lumia 820,Released 2012  November,About 170 EUR,160g  9.9mm thickness,8GB storage  microSD card slot,4.3",8 MP  AF,1650,Black  Gray  Red  Yellow  White  Blue  Violet
Nokia Asha 311,Released 2012  August,About 80 EUR,95g  12.9mm thickness,140MB storage  microSD card slot,3.0",3.15 MP,1110,Dark Grey  Rose Red  Blue  Brown  Sand White
Nokia Asha 306,Released 2012  July,About 70 EUR,96g  12.8mm thickness,10MB storage  microSD card slot,3.0",2 MP,1110,Silver White  Red  Mid Blue  Dark Grey
Nokia Asha 305,Released 2012  July,About 70 EUR,98g  12.8mm thickness,10MB storage  microSD card slot,3.0",2 MP,1110,Silver White  Red  Mid Blue  Dark Grey
Nokia 113,Released 2012  September,About 70 EUR,77g  14.8mm thickness,16MB storage  microSD card slot,1.8",VGA,800,Black  Magenta  Lime Green  Cyan
Nokia 112,Released 2012  September,About 80 EUR,85.5g  15.4mm thickness,16MB storage  microSD card slot,1.8",VGA,1400,Dark Grey  White  Red  Cyan
Nokia 111,Released 2012  September,About 50 EUR,77g  14.8mm thickness,10MB storage  microSD card slot,1.8",VGA,800,Black  Magenta  Lime Green  Cyan
Nokia 110,Released 2012  June,About 40 EUR,80g  14.5mm thickness,10MB storage  microSD card slot,1.8",VGA,1020,Black  Magenta  Lime Green  Cyan
Nokia Lumia 610 NFC,Released 2012  September,About 110 EUR,135g  12mm thickness,8GB storage  no card slot,3.7",5 MP  AF,1300,Black  white
Nokia 103,Released 2012  Q4,About 10 EUR,76.6g  15.3mm thickness,No card slot,1.36",No,800,Blue/Orange
Nokia 808 PureView,Released 2012  June,About 280 EUR,169g  13.9mm thickness,16GB storage  microSD card slot,4.0",41 MP (38 MP effective)  f/2.4  1/1.2"  AF,1400,Black  White  Red
Nokia 800c,Released 2012  September,About 170 EUR,142g  12.1mm thickness,16GB storage  no card slot,3.7",8 MP  AF,1450,Black  Cyan
Nokia Lumia 610,Released 2012  April,About 90 EUR,131.5g  12mm thickness,8GB storage  no card slot,3.7",5 MP  AF,1300,White  Cyan  Magenta  Black
Nokia Asha 302,Released 2012  March,About 80 EUR,106g  13.5mm thickness,100MB storage  microSD card slot,2.4",3.15 MP,1320,Dark Grey  Mid Blue  Plum Red  White  Golden Light
Nokia Asha 203,Released 2012  May,About 80 EUR,90g  13.9mm thickness,10MB storage  microSD card slot,2.4",2 MP,1020, Dark Red  Dark Grey  Silver White
Nokia Asha 202,Released 2012  June,About 70 EUR,90g  13.9mm thickness,10MB storage  microSD card slot,2.4",2 MP,1020,Dark Red  Black  Silver White  Dark Grey  Golden White
Nokia Lumia 900,Released 2012  May,About 160 EUR,160g  11.5mm thickness,16GB storage  no card slot,4.3",8 MP  AF,1830,Black  cyan  white  magenta
