Model,Year,Price,Body,Storage,Display,Camera,Battery,Colours
Nokia 6.1 Plus (Nokia X6),Released 2018  August,About 250 EUR,151g  8mm thickness,64GB storage  microSD card slot,5.8",16 MP  f/2.0  1.0µm  PDAF,3060,Black  Blue  White
Nokia 5.1 Plus (Nokia X5),Released 2018  July,About 150 EUR,160g  8.1mm thickness,64GB storage  microSD card slot,5.86",13 MP  f/2.0  PDAF,3060,Night black  Glacier white  Baltic sea blue
Nokia 5.1,Released 2018  August,About 200 EUR,8.2mm thickness,32GB storage  microSD card slot,5.5",16 MP  PDAF,2970,Copper  Tempered Blue  Black
Nokia 3.1,Released 2018  May,About 150 EUR,138.3g  8.7mm thickness,32GB storage  microSD card slot,5.2",13 MP  f/2.0  AF,2990,Blue/Copper  Black/Chrome  White/Iron
Nokia 2.1,Released 2018  August,About 100 EUR,174g  9.7mm thickness,8GB storage  microSD card slot,5.5",8 MP  AF,4000,Blue/Copper  Blue/Silver  Grey/Silver
Nokia 8110 4G,Released 2018  July,About 90 EUR,117g  14.9mm thickness,4GB storage  microSD card slot,2.4",2 MP,1500,Traditional Black  Banana Yellow
Nokia 8 Sirocco,Released 2018  April,About 750 EUR,177g  7.5mm thickness,128GB storage  no card slot,5.5",12 MP  f/1.8  25mm  1.4µm  dual pixel PDAF,3260,Black
Nokia 7 plus,Released 2018  March,About 350 EUR,183g  8mm thickness,64GB storage  microSD card slot,6.0",12 MP  f/1.8  25mm  1.4µm  dual pixel PDAF,3800,Black/Copper  White/Copper
Nokia 6.1,Released 2018  April,About 280 EUR,172g  8.2mm thickness,32/64GB storage  microSD card slot,5.5",16 MP  f/2.0  27mm  1.0µm  PDAF,3000,Black/Copper  White/Iron  Blue/Gold
Nokia 1,Released 2018  April,About 100 EUR,9.5mm thickness,8GB storage  microSD card slot,4.5",5 MP,2150,Warm Red  Dark Blue
Nokia 3310 4G,Released 2018  February,About 90 EUR,88.1g  13.4mm thickness,512MB storage  microSD card slot,2.4",2 MP,1200,Azure  Yellow  Warm Red  Charcoa
Nokia 2,Released 2017  November,About 120 EUR,161g  9.3mm thickness,8GB storage  microSD card slot,5.0",8 MP  AF,4100,Pewter/Black  Pewter/White  Copper/Black
Nokia 7,Released 2017  October,About 360 EUR,7.9mm thickness,64GB storage  microSD card slot,5.2",16 MP  f/1.8  1.12µm  PDAF,3000,Gloss Black  Matt White
Nokia 3310 3G,Released 2017  October,About 70 EUR,88.2 (DS)/ 84.9 (SS)  13.4mm thickness,64MB storage  microSD card slot,2.4",2 MP,1200,Azure  Yellow  Warm Red  Charcoa
Nokia 8,Released 2017  October,About 400 EUR,160g  7.9mm thickness,128GB storage  microSD card slot,5.3",13 MP  f/2.0  1.12µm  PDAF & laser AF  OIS,3090,Tempered Blue  Polished Blue  Steel  Polished Copper
Nokia 105 (2017),Released 2017  August,About 20 EUR,73g  14.4mm thickness,4MB storage  no card slot,1.8",No,800,Black  Blue  White
Nokia 130 (2017),Released 2017  August,About 20 EUR,14.2mm thickness,8MB storage  microSD card slot,1.8",VGA,1020,Red  Grey  Black
Nokia 3,Released 2017  June,About 130 EUR,140g  8.5mm thickness,16GB storage  microSD card slot,5.0",8 MP  f/2.0  1.12µm  AF,2630,Silver White  Matte Black  Tempered Blue  Copper White
Nokia 5,Released 2017  July,About 180 EUR,160g  8mm thickness,16GB storage  microSD card slot,5.2",13 MP  f/2.0  1/3"  1.12µm  PDAF,3000,Tempered Blue  Silver  Matte Black  Copper
