Model,Year,Price,Storage,Display,Camera,Battery,Colours
Motorola One (P30 Play),Exp. release 2018  October,About 300 EUR,64GB storage  microSD card slot,5.9",13 MP  f/2.0  PDAF,3000,Black
Motorola One Power (P30 Note),Exp. release 2018  October,About 300 EUR,64GB storage  microSD card slot,6.2",16 MP  f/1.8  1.12µm  PDAF,5000,Midnight Black
Motorola Moto Z3,Released 2018  August,About 480 USD,128GB storage  microSD card slot,6.01",12 MP  f/2.0  1.25µm  PDAF & laser AF,3000,Ceramic Black
Motorola Moto Z3 Play,Released 2018  June,About 430 EUR,128GB storage  microSD card slot,6.01",12 MP  f/1.7  1.4µm  dual pixel PDAF,3000,Deep Indigo  Onyx Black (128/6GB only)
Motorola Moto E5 Play Go,Released 2018  August,About 110 EUR,16GB storage  microSD card slot,5.84",8 MP  f/2.0  1.12 µm  AF,2100,Black  Dark lake  Flash gray
Motorola Moto E5 Play,Released 2018  July,About 80 EUR,16GB storage  microSD card slot,5.2",8 MP  f/2.0  1.12 µm  AF,2800,Black  Dark lake  Flash gray
Motorola Moto E5 Plus,Released 2018  May,About 190 EUR,32GB storage  microSD card slot,6.0",12 MP  f/2.0  1.25µm  PDAF & laser AF,5000,Black  Flash gray  Mineral blue  Fine Gold
Motorola Moto E5,Released 2018  May,About 150 EUR,16GB storage  microSD card slot,5.7",13 MP  f/2.0  1.12µm  PDAF,4000,Flash gray  Fine Gold
Motorola Moto G6 Play,Released 2018  May,About 200 EUR,32GB storage  microSD card slot,5.7",13 MP  f/2.0  1.12µm  PDAF,4000,Deep Indigo  Silver  Flash Gray  Gold
Motorola P30,Exp. release 2018  September,About 300 EUR,64/128GB storage  microSD card slot,6.2",16 MP  f/1.8  1.25µm  PDAF,3000,White  Black  Aurora
Motorola Moto G6 Plus,Released 2018  May,About 300 EUR,64/128GB storage  microSD card slot,5.9",12 MP  f/1.7  dual pixel PDAF,3200,Gold  Deep Indigo  Nimbus
Motorola Moto G6,Released 2018  April,About 250 EUR,64GB storage  microSD card slot,5.7",12 MP  f/1.8  1.4µm  PDAF,3000,Deep Indigo  Silver  Blush  Black
Motorola Moto X4,Released 2017  October,About 330 EUR,64GB storage  microSD card slot,5.2",12 MP  f/2.0  1.4µm  dual pixel PDAF,3000,Super Black  Sterling Blue
